empty_slots,extra,free_bikes,id,latitude,longitude,name,timestamp,ebikes,has_ebikes,last_updated,payment_0,payment_1,payment-terminal,rental_uris_android,rental_uris_ios,renting,returning,slots,uid
3,"{'ebikes': 7, 'has_ebikes': True, 'last_updated': 1696291846, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 19, 'uid': '1828968794479100296'}",14,786615e9593e41d0620fef6c290b4387,40.76328,-73.88404,25 Ave & 85 St,2023-10-03 00:11:38.555000+00:00,7,True,1696291846,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,19,1828968794479100296
20,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291822, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 29, 'uid': '1804894168423871442'}",8,88b8d688ae6228304ece5c23138f46c3,40.82090903827738,-73.92753845245076,Walton Ave & E 151 St,2023-10-03 00:11:38.807000+00:00,0,True,1696291822,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,29,1804894168423871442
18,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291783, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 24, 'uid': '1844599666569400604'}",5,615b584cc1445230f35d6affb99e259f,40.73721535335381,-74.02886540972803,River St & 1 St,2023-10-03 00:11:37.683000+00:00,0,True,1696291783,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,24,1844599666569400604
1,"{'ebikes': 15, 'has_ebikes': True, 'last_updated': 1696291805, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 20, 'uid': '1828969112306680612'}",19,714bbbf701687599882521b80af208ed,40.75836,-73.87824,90 St & 32 Ave,2023-10-03 00:11:38.029000+00:00,15,True,1696291805,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,20,1828969112306680612
2,"{'ebikes': 15, 'has_ebikes': True, 'last_updated': 1696291784, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 20, 'uid': '1828968883163894358'}",16,294d8dbc1efb05b236c6f1cdfd0ad5bf,40.7654,-73.88256,24 Ave & 87 St,2023-10-03 00:11:38.341000+00:00,15,True,1696291784,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,20,1828968883163894358
2,"{'ebikes': 5, 'has_ebikes': True, 'last_updated': 1696291798, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 20, 'uid': '1834145468418707676'}",17,965690663e72c599f0319a195c54b71e,40.76424,-73.8812,88 St & Astoria Blvd,2023-10-03 00:11:37.734000+00:00,5,True,1696291798,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,20,1834145468418707676
16,"{'ebikes': 1, 'has_ebikes': True, 'last_updated': 1696291741, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 19, 'uid': '1834145589124844432'}",3,346aba6e21102bd4a27aae6c6baac497,40.75085,-73.87509,92 St & 37 Ave,2023-10-03 00:11:37.325000+00:00,1,True,1696291741,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,19,1834145589124844432
25,"{'ebikes': 5, 'has_ebikes': True, 'last_updated': 1696291858, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 43, 'uid': '1813395029173762108'}",15,068544b23687c232e66366490ebe83b0,40.78585105291389,-73.95482444378061,E 94 St & Madison Ave,2023-10-03 00:11:37.603000+00:00,5,True,1696291858,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,43,1813395029173762108
14,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291761, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 22, 'uid': '1836581628905160976'}",3,d66e5abb961f529ed09f33c00d835d8a,40.74864,-73.87619,Elmhurst Ave & Roosevelt Ave,2023-10-03 00:11:37.656000+00:00,0,True,1696291761,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,22,1836581628905160976
22,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291775, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 24, 'uid': '1836581714456697424'}",1,b5d84937701887fb44b939b2253877f4,40.74888,-73.87368,93 St & Roosevelt Ave,2023-10-03 00:11:37.527000+00:00,0,True,1696291775,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,24,1836581714456697424
